index,브랜드명,매장수,상호,대표자,법인설립등기일,사업자등록일,대표번호,대표팩스번호,사업자유형,법인등록번호,사업자등록번호,주소
0,미콩커피,8,미콩커피본사,조항성,-,2020-11-12,001-577-0541,000000000,개인,-,628-18-01312,우 : 34553 대전광역시 동구 홍도로 14 201호(홍도동)
1,컵넛(cupnut),23,컵넛(cupnut),박근민,-,2019-01-03,051-1577-7381,-,개인,-,340-03-02455,우 : 46272 부산광역시 금정구 부곡로 133-15 1층 cupnut
2,고더커피,8,고더커피,심재용,-,2021-07-15,051-555-7716,-,개인,-,602-48-00642,"우 : 47736 부산광역시 동래구 온천천로 165 101동 121호(명륜동, 동래롯데캐슬퀸)"
3,"오늘도, 카페일리터",96,카페일리터,한초롱,-,2016-01-18,016700170,000,개인,-,825-11-00235,우 : 10424 경기도 고양시 일산동구 호수로430번길 7-9 1층(백석동)
4,영커피,39,(주)영투게더컴퍼니,장영생,2019-03-22,2019-03-22,051-1811-7590,051-783-0199,법인,180111-1208297,603-87-01395,우 : 48051 부산광역시 해운대구 재반로165번길 121 1층
5,사생활,8,(주)화합과전진,"김성훈, 심영근",2021-02-01,2021-02-01,070-5033-7759,000-0000-0000,법인,110111-7768744,353-87-02000,"우 : 08375 서울특별시 구로구 디지털로31길 41 312-207호 (구로동, 이앤씨벤처드림타워6차)"
6,달다곰이,35,씨앰비즈(주),서보람,2020-11-13,2020-12-01,1577-8149,-,법인,110111-7683380,591-86-01891,우 : 06030 서울특별시 강남구 논현로175길 40 지상1층 102호
7,청솔로9,61,청솔로9가맹본부,김태우,-,2019-06-24,1666-8663,070-7543-6466,개인,-,474-09-01090,"우 : 42162 대구광역시 수성구 청수로 62, 6층(상동)"
8,더플롯커피(THE PLOT COFFEE),9,더플롯(THEPLOT),이영주,-,2014-09-20,070-8840-1884,050-4082-0663,개인,-,109-15-73575,"우 : 07572 서울특별시 강서구 공항대로45길 7 (등촌동, 1층)"
9,몬스터커피,65,㈜몬스터,안기수,2019-09-25,2019-09-25,053-313-3683,000-0000-0000,법인,170111-0739138,490-81-01540,우 : 41422 대구광역시 북구 팔거천동로 217 104호(동천동)
10,욤카페,14,욤(Yom),신재원,-,2021-05-04,00,000,개인,-,591-25-01153,우 : 16443 경기도 수원시 팔달구 화양로 17-2 1층 101호(화서동)
11,크레페,6,케이밥,김경민,-,2020-12-01,032-865-3334,0,개인,-,313-12-03060,"인천광역시 미추홀구 주안로90번길 6, 1층 102호(주안동)"
12,댄싱컵(DANCINGCUP),63,(주)위드런,조기원,2015-02-03,2015-02-03,02-1600-1728,051-784-7172,법인,180111-0955790,617-86-26520,"우 : 48059 부산광역시 해운대구 센텀중앙로 90 16층 1604호(재송동, 큐비이센텀)"
13,디커피,2,디커피:DCOFFEE,강동호,-,2021-05-20,02-883-3031,000-0000-0000,개인,-,278-47-00587,"우 : 08793 서울특별시 관악구 인헌6길 16 108호 (봉천동, 원당빌딩)"
14,카페게이트,133,(유)에브라임이노베이션,권순문,2001-04-23,2009-09-09,02-6248-5600,02-3446-7135,법인,110114-0119633,110-81-51144,우 : 04102 서울특별시 마포구 고산길 23 3층
15,쿼드커피(QUAD COFFEE),17,(주)쿼드코리아,이현재,2020-11-23,2020-11-27,1522-4490,043-274-2805,법인,150111-0297958,624-81-01992,우 : 28805 충청북도 청주시 서원구 가장로 348 2층(장암동)
16,루시카토 베이크카페,17,(주)루시카토,강인석,2008-06-23,2008-06-23,02-6925-0036,070-4015-2271,법인,110111-3920265,110-81-82671,우 : 10858 경기도 파주시 탄현면 새오리로 435 _
17,꽈페,15,(주)케이디저트,이준호,2021-12-27,2021-12-27,02-332-7567,02-332-7567,법인,110111-8142830,420-80-02365,우 : 03982 서울특별시 마포구 동교로46길 20 3층
18,카페우드진,4,(주)스테디웨이브,신선혜,2021-09-01,2021-09-07,1833-5044,-,법인,110111-8011168,649-87-02309,"우 : 07802 서울특별시 강서구 공항대로 209 8층 810호(마곡동, 지엠지엘스타)"
